kraj,Score
Qatar,10.0
Virgin Islands,4.5
Costa Rica,4.039755351681957
Yemen,3.95679012345679
Finland,3.759073021425448
Denmark,3.640280085449798
Slovakia,3.5891238670694863
Taiwan,3.548895899053628
Argentina,3.329678784381612
Indonesia,3.227917121046892
Ireland,3.2179957520756903
Bolivia,3.204081632653061
United Kingdom,3.079441523439226
Antarctica,3.0651340996168583
Hong Kong,3.0404389351757772
Guinea,3.0
Belize,3.0
Norway,2.9484408768138315
Azerbaijan,2.7734553775743707
New Zealand,2.729518855656697
Australia,2.6552483974358974
Zimbabwe,2.6288659793814433
Cyprus,2.5631386861313867
Israel,2.536784140969163
Slovenia,2.4656124497991967
Bermuda,2.4444444444444446
Sweden,2.4410707646548517
Jersey,2.4377358490566037
Czech Republic,2.418956814357824
Uruguay,2.3736263736263736
Mozambique,2.3714285714285714
Mexico,2.3498729636825586
Austria,2.345765158806545
Nepal,2.307829181494662
Belarus,2.3057851239669422
Latvia,2.2612612612612613
Italy,2.2547087266866224
Switzerland,2.231977726956349
Portugal,2.203889812739498
Poland,2.202650854551796
Germany,2.202213419025985
United Arab Emirates,2.1920289855072466
Algeria,2.1875
United States,2.149732296436272
Spain,2.1435830772866935
Singapore,2.126864392250986
Canada,2.101564736189295
Croatia,2.092648539778449
France,2.0877078493304446
South Africa,2.065560165975104
Oman,2.065315315315315
Philippines,2.0373001776198936
Turkey,2.020092735703246
China,2.0107958825006276
Brazil,2.0001604878831647
Republic of Korea,2.0
Turkmenistan,2.0
Afghanistan,2.0
Ghana,2.0
Honduras,2.0
Peru,1.9699570815450644
Lithuania,1.925
Estonia,1.8732394366197183
Japan,1.8424747696358053
Mayotte,1.8403990024937655
Serbia,1.8377952755905511
Ukraine,1.8117469879518073
Netherlands,1.764733737999914
Malaysia,1.762402088772846
Hungary,1.759435760579489
India,1.6918875845448185
Thailand,1.687116564417178
Russian Federation,1.6560509554140128
Belgium,1.6507363353157745
Bahamas,1.6470588235294117
Malta,1.6301652892561984
Armenia,1.63013698630137
Mauritius,1.6
El Salvador,1.5862068965517242
Cameroon,1.58125
Bulgaria,1.5617816091954022
Sri Lanka,1.5264270613107822
Greece,1.5088454376163873
Trinidad and Tobago,1.5
Iran,1.451510333863275
Egypt,1.4315245478036176
Iceland,1.408
Bosnia and Herzegovina,1.3887147335423198
Morocco,1.3184306569343065
Tanzania,1.312267657992565
Colombia,1.2900763358778626
Chile,1.2842146189735615
Saudi Arabia,1.261802575107296
Greenland,1.25
Malawi,1.2222222222222223
Lebanon,1.194508009153318
Cuba,1.1794871794871795
Bangladesh,1.1685912240184757
Paraguay,1.1666666666666667
Eritrea,1.1555555555555554
Iraq,1.1428571428571428
Kazakhstan,1.0909090909090908
Georgia,1.0835189309576838
Luxembourg,1.0784313725490196
Macedonia,1.0410958904109588
Cayman Islands,1.0
Panama,1.0
Kyrgyzstan,1.0
Nicaragua,1.0
Madagascar,1.0
Tunisia,0.9864864864864865
Pakistan,0.9563567362428842
Venezuela,0.9090909090909091
Puerto Rico,0.8333333333333334
Ecuador,0.8333333333333334
Moldova,0.8
Jordan,0.7731958762886598
Ethiopia,0.7674418604651163
Guatemala,0.75
Kenya,0.7333333333333333
Viet Nam,0.7272727272727273
Niger,0.696969696969697
Congo,0.625
Mongolia,0.5714285714285714
Albania,0.5
Myanmar,0.5
Kuwait,0.46153846153846156
Libya,0.391304347826087
Uzbekistan,0.35135135135135137
Togo,0.3333333333333333
Angola,0.25
Bahrain,0.2
Rwanda,0.0
Jamaica,0.0
Christmas Island,0.0
Fiji,0.0
Liechtenstein,0.0
Cambodia,0.0
Monaco,0.0
Cape Verde,0.0
Tonga,0.0
Zambia,-0.16666666666666666
Uganda,-0.2
